Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10644260.985019354
Y: 4411048.3829526249"
OBJECTID:,2234
Confirmed:,4538
Deaths:,56
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10730793.380019385
Y: 4387504.0571781825"
OBJECTID:,2235
Confirmed:,3701
Deaths:,48
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10554214.179148419
Y: 4416178.2206423925"
OBJECTID:,2237
Confirmed:,1743
Deaths:,33
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10764964.073252209
Y: 4344388.1328969141"
OBJECTID:,2244
Confirmed:,10072
Deaths:,124
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10642596.121884502
Y: 4351658.9891312663"
OBJECTID:,2253
Confirmed:,4943
Deaths:,91
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10676111.465029882
Y: 4399290.0165072"
OBJECTID:,2255
Confirmed:,1192
Deaths:,11
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -11005682.791749744
Y: 4406687.1980735222"
OBJECTID:,2256
Confirmed:,3114
Deaths:,20
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -11049887.740393046
Y: 4359005.2874515895"
